symbol,timeframe,time,open,high,low,close,Volume,Volume MA
XAU,3min,1681682580,2004.275,2004.275,1999.87,2003.275,217,NaN
XAU,3min,1681682760,2003.275,2005.225,2003.26,2004.645,168,NaN
XAU,3min,1681682940,2004.645,2004.925,2003.02,2003.02,78,NaN
XAU,3min,1681683120,2003.02,2003.895,2002.795,2002.895,48,NaN
XAU,3min,1681683300,2002.895,2003.39,2002.675,2003.075,87,NaN
XAU,3min,1681683480,2003.075,2003.155,2002.645,2003.05,60,NaN
XAU,3min,1681683660,2003.05,2003.27,2002.6,2003.115,46,NaN
XAU,3min,1681683840,2003.115,2003.115,2002.56,2002.72,36,NaN
XAU,3min,1681684020,2002.72,2003.385,2002.72,2003.125,34,NaN
XAU,3min,1681684200,2003.125,2003.38,2002.82,2003.04,57,NaN
XAU,3min,1681684380,2003.04,2003.21,2002.815,2002.86,54,NaN
XAU,3min,1681684560,2002.86,2002.86,2001.325,2001.435,69,NaN
XAU,3min,1681684740,2001.435,2001.585,2000.765,2001.065,75,NaN
XAU,3min,1681684920,2001.065,2001.87,2001.065,2001.425,62,NaN
XAU,3min,1681685100,2001.425,2001.515,2000.665,2000.695,59,NaN
XAU,3min,1681685280,2000.695,2000.93,2000.27,2000.27,66,NaN
XAU,3min,1681685460,2000.27,2000.49,1999.82,2000.39,95,NaN
XAU,3min,1681685640,2000.39,2001,2000.335,2000.755,57,NaN
XAU,3min,1681685820,2000.755,2001.56,2000.755,2001.24,47,NaN
XAU,3min,1681686000,2001.24,2004.76,2001.24,2004.39,225,82
XAU,3min,1681686180,2004.39,2005.08,2004.16,2004.225,104,76.35
XAU,3min,1681686360,2004.225,2004.39,2003.47,2003.47,73,71.6
XAU,3min,1681686540,2003.47,2003.86,2003.4,2003.485,65,70.95
XAU,3min,1681686720,2003.485,2003.61,2003.08,2003.58,72,72.15
XAU,3min,1681686900,2003.58,2003.79,2003.24,2003.675,73,71.45
XAU,3min,1681687080,2003.675,2003.81,2003.395,2003.78,114,74.15
XAU,3min,1681687260,2003.78,2003.835,2003.065,2003.075,45,74.1
XAU,3min,1681687440,2003.075,2003.075,2002.675,2002.745,49,74.75
XAU,3min,1681687620,2002.745,2002.95,2002.74,2002.76,32,74.65
XAU,3min,1681687800,2002.76,2003.105,2002.665,2003.005,54,74.5
XAU,3min,1681687980,2003.005,2003.005,2002.64,2002.655,42,73.9
XAU,3min,1681688160,2002.655,2002.665,2002.155,2002.36,58,73.35
XAU,3min,1681688340,2002.36,2002.495,2002.26,2002.275,49,72.05
XAU,3min,1681688520,2002.275,2002.89,2002.275,2002.89,47,71.3
XAU,3min,1681688700,2002.89,2003.175,2002.54,2003.06,72,71.95
XAU,3min,1681688880,2003.06,2003.156,2002.68,2002.79,68,72.05
XAU,3min,1681689060,2002.79,2002.79,2002.335,2002.645,58,70.2
XAU,3min,1681689240,2002.645,2002.82,2002.47,2002.795,25,68.6
XAU,3min,1681689420,2002.795,2002.98,2002.64,2002.96,31,67.8
XAU,3min,1681689600,2002.96,2003.25,2001.5,2001.925,258,69.45
XAU,3min,1681689780,2001.925,2002.82,2001.91,2002.37,135,71
XAU,3min,1681689960,2002.37,2002.565,2001.815,2001.985,129,73.8
XAU,3min,1681690140,2001.985,2002.695,2001.94,2002.695,109,76
XAU,3min,1681690320,2002.695,2003.125,2002.35,2002.395,107,77.75
XAU,3min,1681690500,2002.395,2003.36,2002.395,2003.315,81,78.15
XAU,3min,1681690680,2003.315,2003.475,2003.02,2003.12,71,76
XAU,3min,1681690860,2003.12,2004.175,2003.035,2004.095,159,81.7
XAU,3min,1681691040,2004.095,2004.095,2003.48,2003.575,113,84.9
XAU,3min,1681691220,2003.575,2003.975,2003.49,2003.805,85,87.55
XAU,3min,1681691400,2003.805,2004.765,2003.71,2004.31,195,94.6
XAU,3min,1681691580,2004.31,2004.315,2003.675,2003.915,96,97.3
XAU,3min,1681691760,2003.915,2004.115,2003.57,2004.115,82,98.5
XAU,3min,1681691940,2004.115,2004.225,2003.665,2003.755,125,102.3
XAU,3min,1681692120,2003.755,2003.915,2003.55,2003.66,115,105.7
XAU,3min,1681692300,2003.66,2003.825,2003.53,2003.585,113,107.75
XAU,3min,1681692480,2003.585,2003.68,2003.31,2003.325,121,110.4
